mentity,acres_in_partership
DIST_REG_Hesperia Recreation and Park District,207.8790894
"LOC_CITY_San Luis Obispo, City of",205.8523102
"LOC_CNTY_Santa Cruz, County of",192.124054
NGO_NGO_Monterey Agricultural and Historical Land Conservancy,188.9800415
NGO_NGO_Ag Land Trust,188.9800415
"LOC_CITY_Glendora, City of",174.3294525
DIST_RWD_Montecito Water District,169.9011688
"LOC_CITY_Poway, City of",163.1620789
"LOC_CITY_La Verne, City of",157.6640015
NGO_NGO_Sequoia Riverlands Trust,154.5857086
"LOC_CNTY_Colusa, County of",149.5637054
NGO_NGO_Marin Audubon Society,143.300705
NGO_NGO_Silicon Valley Land Conservancy,132.0911255
DIST_RWD_Santa Clara Valley Water District,132.0911255
STAT_OTHS_California State University,127.100647
"LOC_CNTY_Modoc, County of",119.9520874
NGO_NGO_Bear Yuba Land Trust,109.3445969
"LOC_CITY_Santa Barbara, City of",104.4592133
"LOC_CNTY_Lake, County of",101.8445511
DIST_REG_San Dieguito River Valley Conservancy,100.3621368
